Name of the Judge,Gender,Date of Birth,State of Birth,Place of Birth,Date of Appointment,Date of Retirement,If Died in Office,If resigned from office,Parent High Court,If transferred to any other High Court,"If yes, which High Court 1",Date of such transfer - 1,"If yes, which High Court 2",Date of such transfer – 2,"If yes, which High Court 3",Date of such transfer - 3,If appointed Chief Justice in another High Court,"If yes, which High Court – 1","If yes, which High Court – 2","If yes, which High Court – 3",If appointed to the Supreme Court,Date of appointment to the Supreme Court,Cadre,Experience in Subordinate Judiciary,Litigation Experience,If a Senior Advocate,Experience in High Court Administrative Post,If served as Counsel for Government/PSU/Statutory Body,If served as Advocate General,If empanelled by Banks,If empanelled by Private Companies,Chamber Details,Schooling Information,Graduation Institution,Graduation Specialization,Law Degree Institution,Law Degree Year,Bar Enrolment Year,State Bar Association where enrolled,Foreign Degree in Law,Post-Graduate in another subject,Post-Graduate in Law,Experience in SubordiNot Applicablete Judiciary,appointment_dt
Ajai Tyagi,male,1961-01-01T00:00:00Z,Uttar Pradesh,Not Available,2021-03-25T00:00:00Z,2022-12-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,,2021-03-25 00:00:00+00:00
Ajay Bhanot,male,1969-08-04T00:00:00Z,Not Available,Not Available,2017-09-22T00:00:00Z,2031-08-03T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Lucknow university,1994,1995,Uttar Pradesh,No,No,No,,2017-09-22 00:00:00+00:00
Ajay Kumar Yog,male,1945-03-11T00:00:00Z,Not Available,Not Available,1999-02-05T00:00:00Z,2007-03-10T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,Not Available,Lucknow University,Not Available,Lucknow University,1966,1969,Uttar Pradesh,No,Yes,No,,1999-02-05 00:00:00+00:00
Ajit Kumar,male,1968-12-22T00:00:00Z,Not Available,Not Available,2017-09-22T00:00:00Z,2030-12-21T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Allahabad University,1992,1992,Uttar Pradesh,No,No,No,,2017-09-22 00:00:00+00:00
Ajit Singh,male,1961-03-30T00:00:00Z,Uttar Pradesh,Not Available,2018-11-22T00:00:00Z,2023-03-29T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Allahabad university,1985,Not Applicable,Not Applicable,No,No,No,,2018-11-22 00:00:00+00:00
Akhilesh Chandra Sharma,male,1956-03-19T00:00:00Z,Uttar Pradesh,Not Available,2017-08-07T00:00:00Z,2018-03-18T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Meerut University,1977,Not Applicable,Not Applicable,No,No,No,,2017-08-07 00:00:00+00:00
Akhtar Khan,male,1954-01-10T00:00:00Z,Uttar Pradesh,Not Available,2014-02-03T00:00:00Z,2016-01-09T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1975,Not Applicable,Not Applicable,No,No,No,,2014-02-03 00:00:00+00:00
Ali Zamin,male,1961-01-01T00:00:00Z,Uttar Pradesh,Not Available,2019-05-06T00:00:00Z,2022-12-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Science,Not Available,1983,Not Applicable,Not Applicable,No,No,No,,2019-05-06 00:00:00+00:00
Allah Raham,male,1946-07-22T00:00:00Z,Uttar Pradesh,Not Available,2005-10-20T00:00:00Z,2008-07-21T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1972,Not Applicable,Not Applicable,No,No,Yes,,2005-10-20 00:00:00+00:00
Alok Kumar Mukherjee,male,1955-01-18T00:00:00Z,Uttar Pradesh,Not Available,2016-04-07T00:00:00Z,2017-01-17T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Gorakhpur University,1976,1977,Not Available,No,No,No,,2016-04-07 00:00:00+00:00
Alok Kumar Singh,male,1948-06-24T00:00:00Z,Uttar Pradesh,Not Available,2005-10-20T00:00:00Z,2010-06-23T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,History,Allahabad university,1968,Not Applicable,Not Applicable,No,Yes,No,,2005-10-20 00:00:00+00:00
Alok Mathur,male,1964-11-16T00:00:00Z,Not Available,Not Available,2018-11-22T00:00:00Z,2026-11-15T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Hindu College,Chemistry,Delhi University,1989,1989,Not Available,No,No,No,,2018-11-22 00:00:00+00:00
Alok Singh,male,1959-04-28T00:00:00Z,Uttrakhand,Not Available,2009-10-12T00:00:00Z,2021-04-27T00:00:00Z,No,No,Uttarakhand,Yes,Punjab and Haryana,2009-12-21T00:00:00Z,Jharkhand,2012-06-13T00:00:00Z,Uttarakhand,2013-02-26T00:00:00Z,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,M.S. College,Science,Not Available,1982,1982,Uttar Pradesh,No,No,No,,2009-10-12 00:00:00+00:00
Amar Nath Varma,male,1947-04-07T00:00:00Z,Uttar Pradesh,Not Available,2002-12-21T00:00:00Z,2009-04-06T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,No,No,Not Available,Lucknow University,Not Available,Lucknow University,1975,1975,Uttar Pradesh,No,No,No,,2002-12-21 00:00:00+00:00
Amar Saran,male,1953-03-22T00:00:00Z,Uttar Pradesh,Not Available,2002-12-20T00:00:00Z,2015-03-21T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No,,2002-12-20 00:00:00+00:00
Amar Singh Chauhan,male,1956-06-03T00:00:00Z,Uttar Pradesh,Not Available,2015-02-18T00:00:00Z,2018-06-02T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Kanpur University,1979,1980,Uttar Pradesh,No,No,Yes,,2015-02-18 00:00:00+00:00
Amar Singh Gill,male,Not Available,Punjab,Not Available,1994-06-20T00:00:00Z,2003-05-19T00:00:00Z,No,No,Punjab and Haryana,Yes,Allahabad,1994-07-21T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,No,No,,1994-06-20 00:00:00+00:00
Amitava Lala,male,1950-11-20T00:00:00Z,West Bengal,Not Available,1997-05-12T00:00:00Z,2012-11-19T00:00:00Z,No,No,Calcutta,Yes,Allahabad,2005-01-07T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Calcutta University,ARTS AND SCIENCE,CALCUTTA UNIVERSITY,1974,1975,West Bengal,No,No,No,,1997-05-12 00:00:00+00:00
Amreshwar Pratap Sahi,male,1959-01-01T00:00:00Z,Uttar Pradesh,Not Available,2004-09-24T00:00:00Z,2020-12-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Patna,Madras,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Not Available,Not Available,Not Available,1985,1985,Not Available,No,No,No,,2004-09-24 00:00:00+00:00
Anant Kumar,male,1958-06-07T00:00:00Z,Uttar Pradesh,Not Available,2014-02-03T00:00:00Z,2020-06-06T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Awadh University,1979,1980,Uttar Pradesh,No,No,No,,2014-02-03 00:00:00+00:00
Anil Agrawal,male,1952-08-15T00:00:00Z,Uttar Pradesh,Not Available,2011-09-05T00:00:00Z,2014-08-14T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1973,Not Applicable,Not Applicable,No,No,No,,2011-09-05 00:00:00+00:00
Anil Kumar,male,1958-08-09T00:00:00Z,Uttar Pradesh,Not Available,2009-04-13T00:00:00Z,2020-08-08T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Lucknow University,1983,1983,Not Available,No,No,No,,2009-04-13 00:00:00+00:00
Anil Kumar IX,male,1959-05-31T00:00:00Z,Uttar Pradesh,Not Available,2018-11-22T00:00:00Z,2021-05-30T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1981,Not Applicable,Not Applicable,No,No,No,,2018-11-22 00:00:00+00:00
Anil Kumar Ojha,male,1960-07-02T00:00:00Z,Not Available,Not Available,2021-03-25T00:00:00Z,2022-07-01T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,No,No,No,,2021-03-25 00:00:00+00:00
Anil Kumar Sharma,male,1953-04-19T00:00:00Z,Uttar Pradesh,Not Available,2012-04-17T00:00:00Z,2015-04-18T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Meerut University,1975,Not Applicable,Not Applicable,No,No,No,,2012-04-17 00:00:00+00:00
Anil Kumar Srivastava-II,male,1956-09-21T00:00:00Z,Uttar Pradesh,Not Available,2016-04-07T00:00:00Z,2018-09-20T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Bundhelkhand University,1977,Not Applicable,Not Applicable,No,No,No,,2016-04-07 00:00:00+00:00
Aniruddha Singh,male,1958-01-01T00:00:00Z,Uttar Pradesh,Not Available,2017-07-07T00:00:00Z,2019-12-31T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Allahabad University,1980,Not Applicable,Not Applicable,No,No,No,,2017-07-07 00:00:00+00:00
Anjani Kumar,male,1946-09-14T00:00:00Z,Uttar Pradesh,Not Available,2001-04-24T00:00:00Z,2008-09-13T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,Yes,Not Applicable,No,No,No,No,No,Not Available,Allahabad University,Arts,ALLAHABAD UNIVERSITY,1968,1968,Uttar Pradesh,No,No,No,,2001-04-24 00:00:00+00:00
Anjani Kumar Mishra,male,1963-05-17T00:00:00Z,Not Available,Not Available,2013-04-12T00:00:00Z,2025-05-16T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,Yes,Yes,No,Not Available,Not Available,Not Available,Allahabad University,1988,1989,Uttar Pradesh,No,No,No,,2013-04-12 00:00:00+00:00
Anurag Kumar,male,1951-12-19T00:00:00Z,Uttar Pradesh,Not Available,2012-04-17T00:00:00Z,2013-12-18T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Not Available,1973,Not Applicable,Not Applicable,No,No,No,,2012-04-17 00:00:00+00:00
Arun Tandon,male,1955-12-30T00:00:00Z,Uttar Pradesh,Not Available,2004-01-07T00:00:00Z,2017-12-29T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Allahabad University,Science,Allahabad University,1980,1980,Not Available,No,No,No,,2004-01-07 00:00:00+00:00
Arvind Kumar Mishra- I,male,1961-07-02T00:00:00Z,Not Available,Not Available,2014-02-03T00:00:00Z,2023-07-01T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,Yes,No,No,No,No,Not Available,Not Available,Not Available,Allahabad University,1982,1984,Uttar Pradesh,No,Yes,No,,2014-02-03 00:00:00+00:00
Arvind Kumar Tripathi,male,1956-03-10T00:00:00Z,Uttar Pradesh,Not Available,2008-05-05T00:00:00Z,2018-03-09T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Allahabad University,1979,1981,Uttar Pradesh,No,No,No,,2008-05-05 00:00:00+00:00
Arvind Kumar Tripathi,male,1953-01-09T00:00:00Z,Uttar Pradesh,Not Available,2012-04-17T00:00:00Z,2015-01-08T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,Yes,No,No,No,No,No,No,No,Not Available,Not Available,Not Available,Jeevaji University,1973,1974,Uttar Pradesh,No,No,No,,2012-04-17 00:00:00+00:00
Ashish Trivedi,male,1947-11-24T00:00:00Z,Not Available,Not Available,1994-02-01T00:00:00Z,2002-02-18T00:00:00Z,Yes,No,Allahabad,Yes,Patna,1994-02-14T00:00:00Z,Allahabad,1999-12-17T00:00:00Z,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Lucknow University,Arts,University of Lucknow,1972,1972,Uttar Pradesh,No,No,No,,1994-02-01 00:00:00+00:00
Ashok Bhushan,male,1956-07-05T00:00:00Z,Uttar Pradesh,Not Available,2001-04-24T00:00:00Z,2021-07-04T00:00:00Z,No,No,Allahabad,Yes,Kerala,2014-07-09T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Kerala,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,Yes,No,No,No,No,Not Available,Allahabad University,Not Available,ALLAHABAD UNIVERSITY,1979,1979,Uttar Pradesh,No,No,No,,2001-04-24 00:00:00+00:00
Ashok Kumar,male,1958-09-04T00:00:00Z,Uttar Pradesh,Not Available,2017-02-20T00:00:00Z,2020-09-03T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Bar,No,Yes,No,Not Applicable,No,No,No,No,No,Not Available,Not Available,Not Available,Allahabad University,1983,1985,Uttar Pradesh,No,No,No,,2017-02-20 00:00:00+00:00
Ashok Kumar Roopanwal,male,1948-12-24T00:00:00Z,Uttar Pradesh,Not Available,2006-11-20T00:00:00Z,2010-12-23T00:00:00Z,No,No,Allahabad,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,SCIENCE,Not Available,1969,Not Applicable,Not Applicable,No,No,No,,2006-11-20 00:00:00+00:00
Ashok Kumar Srivastava,male,1937-07-01T00:00:00Z,Not Available,Not Available,1994-09-29T00:00:00Z,1999-07-01T00:00:00Z,No,No,Allahabad,Yes,Delhi,1994-10-18T00:00:00Z,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable,Service,Yes,No,Not Applicable,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Available,Not Available,Not Available,Lucknow University,1957,Not Applicable,Not Applicable,No,Yes,No,,1994-09-29 00:00:00+00:00
